aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,0
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,0
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,0
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,0
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,0
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,0
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,0
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,0
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,0
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,0
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,0
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,0
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,0
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,0
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,0
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,0
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,0
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,0
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,0
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,0
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,0
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,0
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,0
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,0
frog1,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,0
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,0
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,0
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,0
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,0
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,0
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,0
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,0
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,0
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,0
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,0
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,0
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,0
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,0
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,0
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,0
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,0
